,betweenness_centrality,vertex
1148,0.0,46312
1149,0.0,46320
1150,0.0,46321
1151,0.0,46323
1152,0.0,59540
1153,0.0,59541
1154,0.0,59543
1155,0.0,59544
1156,0.0,59546
1157,0.0,59547
1158,0.0,59549
1159,0.0,59550
1160,0.0,59551
1161,0.0,59552
1162,0.0,59554
1163,0.0,59555
1164,0.0,59557
1165,0.0,59560
1166,0.0,59561
1167,0.0,59563
1168,0.0,59564
1169,0.0,59565
1170,0.0,59566
1171,0.0,59570
1172,0.0,59572
1173,0.0,59574
1174,0.0,59576
1175,0.0,59577
1176,0.0,59578
1177,0.0,59580
1178,0.0,59582
1179,0.0,59583
1180,0.0,59588
1181,0.0,59590
1182,0.0,59591
1183,0.0,59592
1184,0.0,16668
1185,0.0,16672
1186,0.0,16678
1187,0.0,16682
1188,0.0,16684
1189,0.0,16687
1190,0.0,16689
1191,0.0,16692
1192,0.0,16694
1193,0.0,16697
1194,0.0,16700
1195,0.0,16701
1196,0.0,16706
1197,0.0,16708
1198,0.0,16710
1199,0.0,16711
1200,0.0,16715
1201,0.0,16718
1202,0.0,16720
1203,0.0,16721
1204,0.0,16722
1205,0.0,16724
1206,0.0,16725
1207,0.0,16728
1208,0.0,16731
1209,0.0,16732
1210,0.0,16734
1211,0.0,16735
1212,0.0,16740
1213,0.0,16741
1214,0.0,16742
1215,0.0,16745
1216,0.0,40011
1217,0.0,40013
1218,0.0,40014
1219,0.0,40017
1220,0.0,40019
1221,0.0,40020
1222,0.0,40026
1223,0.0,40027
1224,0.0,40030
1225,0.0,40033
1226,0.0,40042
1227,0.0,40043
1228,0.0,40048
1229,0.0,40049
1230,0.0,40051
1231,0.0,40052
1232,0.0,40053
1233,0.0,40055
1234,0.0,40057
1235,0.0,40062
1236,0.0,40063
1237,0.0,40067
1238,0.0,40069
1239,0.0,40070
1240,0.0,40074
1241,0.0,40075
1242,0.0,40083
1243,0.0,40084
1244,0.0,40087
1245,0.0,40088
1246,0.0,40092
1247,0.0,40096
1248,0.0,22375
1249,0.0,22394
1250,0.0,22411
1251,0.0,22583
1252,0.0,22939
1253,0.0,23022
1254,0.0,23127
1255,0.0,23256
1256,0.0,23373
1257,0.0,23441
1258,0.0,23958
1259,0.0,23982
1260,0.0,24137
1261,0.0,24266
1262,0.0,24322
1263,0.0,24371
1264,0.0,24403
1265,0.0,24476
1266,0.0,24483
1267,0.0,24515
1268,0.0,24550
1269,0.0,24557
1270,0.0,24835
1271,0.0,24855
1272,0.0,24970
1273,0.0,25098
1274,0.0,25121
1275,0.0,25153
1276,0.0,25257
1277,0.0,25271
1278,0.0,25283
1279,0.0,25297
1280,0.0,56702
1281,0.0,56709
1282,0.0,56714
1283,0.0,56725
1284,0.0,56730
1285,0.0,56731
1286,0.0,56738
1287,0.0,56739
1288,0.0,56741
1289,0.0,56744
1290,0.0,56749
1291,0.0,56761
